Model,Architecture,Pixel Shaders,Vertex Shaders,Core speed,Boost / Turbo,Memory Speed,Memory Bus,Memory Type
NVIDIA GeForce GTX 1650 Ti Max-Q,Turing,1024,,1035,1200,10000,128,GDDR6
AMD Radeon RX 480 (Laptop),Polaris,2304,,,,,256,GDDR5
AMD Radeon Pro WX 7100,Polaris,2304,,,1243,7000,256,GDDR5
AMD Radeon RX 570X (Laptop),Polaris,2048,,,1168,7000,256,GDDR5
AMD Radeon RX 570 (Laptop),Polaris,2048,,926,1206,7000,256,GDDR5
AMD Radeon RX 470 (Laptop),Polaris,2048,,926,1206,7000,256,GDDR5
NVIDIA GeForce GTX 1650 Max-Q,Turing,1024,,1020,1245,8000,128,"GDDR5, GDDR6"
NVIDIA Quadro T1000 (Laptop),Turing,768,,1395,1455,8000,128,GDDR5
NVIDIA Quadro T1000 Max-Q,Turing,768,,795 / 1230,1455,8000,128,GDDR5
NVIDIA GeForce MX450,Turing,896,,1395,1575,10002,64,"GDDR5,GDDR6"
NVIDIA GeForce GTX 880M SLI,Kepler,3072,,954,,5000,2x 256,GDDR5
NVIDIA GeForce GTX 780M SLI,Kepler,3072,,823,,5000,2x 256,GDDR5
AMD Radeon RX 490M,Polaris,0,,,,,,GDDR5
NVIDIA GeForce GTX 965M SLI,Maxwell,2048,,924,950,5000,128,GDDR5
AMD Radeon R9 M290X Crossfire,GCN,2560,,850,900,4800,2x 256,GDDR5
AMD Radeon HD 8970M Crossfire,GCN,2560,,850,900,4800,2x 256,GDDR5
NVIDIA GeForce GTX 680M SLI,Kepler,2688,,720,,3600,2x 256,GDDR5
AMD Radeon HD 7970M Crossfire,GCN,2560,,850,,4800,2x 256,GDDR5
NVIDIA GeForce GTX 980M,Maxwell,1536,,1038,1127,5000,256,GDDR5
AMD Radeon RX Vega M GH,Vega,1536,,1063,1190,,,HBM2
NVIDIA Quadro M5000M,Maxwell,1536,,962,1051,5000,256,GDDR5
AMD Radeon Pro Vega 20,Vega,1280,,815,1283,,,HBM2
NVIDIA GeForce GTX 1050 Ti Mobile,Pascal,768,,1493,1620,7000,128,GDDR5
NVIDIA Quadro P2000,Pascal,768,,1215,1468,6008,128,GDDR5
NVIDIA Quadro P2000 Max-Q,Pascal,768,,1215,1468,6008,128,GDDR5
NVIDIA Quadro M4000M,Maxwell,1280,,975,1013,5012,256,GDDR5
NVIDIA GeForce GTX 970M,Maxwell,1280,,924,1038,5000,192,GDDR5
NVIDIA GeForce GTX 860M SLI,Maxwell,1280,,1029,,5000,2x 128,GDDR5
NVIDIA GeForce GTX 770M SLI,Kepler,1920,,811,,4000,2x 192,GDDR5
AMD Radeon R9 M395X,GCN 3,2048,,,909,5460,256,GDDR5
NVIDIA GeForce GTX 1050 Ti Max-Q,Pascal,768,,1151 – 1290,1290 – 1417,7000,128,GDDR5
AMD Radeon Pro Vega 16,Vega,1024,,,,,,HBM2
AMD Radeon RX Vega M GL / 870,Vega,1280,,931,1011,,,HBM2
AMD Radeon Pro WX Vega M GL,Vega,1280,,931,1011,,,HBM2
AMD Radeon R9 M485X,GCN 3,2048,,,,5000,256,GDDR5
AMD Radeon R9 M295X,GCN 3,2048,,,850,5448,256,GDDR5
AMD Radeon R9 M390X,GCN 3,2048,,,723,5000,256,GDDR5
NVIDIA Quadro M3000M,Maxwell,1024,,1050,,5000,256,GDDR5
NVIDIA GeForce GTX 1050 Mobile,Pascal,640,,1354,1493,7000,128,GDDR5
AMD FirePro W7170M,GCN 3,2048,,723,,5000,256,GDDR5
AMD Radeon R9 M395,GCN,1792,,834,,5460,256,GDDR5
Intel Iris Xe Graphics G7 96EUs,Gen. 11 Ice Lake,96,,400,1350,,,
NVIDIA GeForce GTX 880M,Kepler,1536,,954,,5000,256,GDDR5
NVIDIA GeForce GTX 1050 Max-Q,Pascal,640,,999 - 1189,1139 - 1328,7000,128,GDDR5
NVIDIA GeForce GTX 780M,Kepler,1536,,823,,5000,256,GDDR5
NVIDIA Quadro K5100M,Kepler,1536,,771,,3600,256,GDDR5
NVIDIA Quadro P1000,Pascal,512,,1493,1519,6008,128,GDDR5
Intel Iris Xe MAX Graphics,Gen. 12 Xe,96,,,1650,4266,128,LPDDR4x
NVIDIA GeForce MX350,Pascal,640,,1354,1468,7000,64,GDDR5
NVIDIA GeForce GTX 680MX,Kepler,1536,,720,,5000,256,GDDR5
AMD Radeon Pro WX 4150,Polaris,896,,,1053,7000,128,GDDR5
NVIDIA GeForce GTX 965M,Maxwell,1024,,924 / 935,950 / 1151,5000,128,GDDR5
AMD Radeon RX 560X (Laptop),Polaris,1024,,1172,1275,6000,128,GDDR5
AMD Radeon RX 560 (Laptop),Polaris,1024,,1090,1292,6000,128,GDDR5
NVIDIA Quadro M2200,Maxwell,1024,,694,1038,5508,128,GDDR5
NVIDIA GeForce GTX 870M,Kepler,1344,,941,,5000,192,GDDR5
AMD Radeon R9 M290X,GCN,1280,,850,900,4800,256,GDDR5
AMD Radeon HD 8970M,GCN,1280,,850,900,4800,256,GDDR5
NVIDIA GeForce GTX 675M SLI,Fermi,768,,620,,3000,256,GDDR5
NVIDIA GeForce GTX 765M SLI,Kepler,1536,,850,,4000,2x 128,GDDR5
AMD Radeon RX 460 (Laptop),Polaris,896,,,1180,6000,128,GDDR5
NVIDIA GeForce GTX 680M,Kepler,1344,,720,,3600,256,GDDR5
NVIDIA GeForce GTX 775M,Kepler,1344,,719,,3600,256,GDDR5
AMD Radeon R9 M390,GCN,1024,,,958,5460,256,GDDR5
AMD FirePro M6100,GCN,768,,1100,,6000,128,GDDR5
AMD Radeon HD 7970M,GCN,1280,,850,,4800,256,GDDR5
AMD Radeon Pro 560X,Polaris,1024,,907,,5080,128,GDDR5
AMD Radeon Pro 560,Polaris,1024,,907,,5080,128,GDDR5
AMD Radeon Pro 460,Polaris,1024,,900,,5000,128,GDDR5
AMD Radeon Pro WX 4130,Polaris,640,,,1053,7000,128,GDDR5
NVIDIA GeForce GTX 960M,Maxwell,640,,1096,1202,5000,128,GDDR5
NVIDIA GeForce GTX 670MX SLI,Kepler,1920,,600,,2800,2x 192,GDDR5
NVIDIA Quadro M1200,Maxwell,640,,991,1150,5000,128,GDDR5
NVIDIA Quadro P620,Pascal,512,,1177,1442,6000,128,GDDR5
AMD Radeon RX 550X (Laptop),Polaris,640,,1176,,7000,128,GDDR5
AMD Radeon RX 550 (Laptop),Polaris,640,,1287,1476,6000,128,GDDR5
AMD Radeon RX 640,Polaris,640,,1218,1218,6000,64,GDDR5
AMD Radeon Pro WX 3200,Polaris,640,,1082,,6000,128,GDDR5
AMD Radeon Pro 555X,Polaris,768,,855,,5080,128,GDDR5
AMD Radeon Pro 555,Polaris,768,,855,,5080,128,GDDR5
AMD Radeon Pro 455,Polaris,768,,855,,5000,128,GDDR5
NVIDIA Quadro P600,Pascal,384,,1430,1620,5012,64,GDDR5
NVIDIA GeForce MX250,Pascal,384,,1518,1582,7000,64,GDDR5
NVIDIA GeForce MX150,Pascal,384,,1468,1532,6008,64,GDDR5
NVIDIA GeForce MX330,Pascal,384,,1531,1594,7000,64,GDDR5
NVIDIA Quadro M2000M,Maxwell,640,,1038,1197,5000,128,GDDR5
NVIDIA Quadro K5000M,Kepler,1344,,706,,3000,256,GDDR5
NVIDIA Quadro K4100M,Kepler,1152,,706,,3200,256,GDDR5
Intel Iris Xe Graphics G7 80EUs,Gen. 11 Ice Lake,80,,400,1250,,,
NVIDIA GeForce GTX 770M,Kepler,960,,811,,4000,192,GDDR5
AMD Radeon RX 540X,GCN 4.0,512,,,1219,6000,128,GDDR5
AMD Radeon Pro WX 2100,Polaris,512,,,1219,6000,128,GDDR5
AMD Radeon RX 540,Polaris,512,,,1219,6000,128,GDDR5
AMD Radeon Pro WX 3100,Polaris,512,,,,6000,128,GDDR5
NVIDIA GeForce GTX 860M,Maxwell,640,,1029,,5000,128,GDDR5
NVIDIA GeForce GTX 580M SLI,Fermi,768,,620,,1500,256,GDDR5
AMD Radeon HD 6990M Crossfire,Terascale 2,2240,,715,,900,256,GDDR5
NVIDIA GeForce GT 755M SLI,Kepler,768,,980,,5400,2x 128,GDDR5
NVIDIA GeForce GTX 485M SLI,Fermi,768,,575,,1500,256,GDDR5
AMD Radeon HD 6970M Crossfire,Terascale 2,1920,,680,,900,256,GDDR5
NVIDIA GeForce GTX 675MX,Kepler,960,,600,,3600,256,GDDR5
NVIDIA GeForce GT 750M SLI,Kepler,768,,967,,2000 - 5000,2x 128,"DDR3, GDDR5"
NVIDIA GeForce GTX 950M,Maxwell,640,,914 - 993,1124,1800 - 5000,128,"DDR3, GDDR5"
AMD Radeon Pro 450,Polaris,640,,800,,5080,128,GDDR5
AMD Radeon 630,GCN 1.0,512,,,1219,6000,64,GDDR5
AMD Radeon 540X,GCN 4.0,512,,,1219,6000,64,GDDR5
AMD Radeon R9 M470X,GCN 2,896,,1100,,6000,128,GDDR5
AMD Radeon R9 M385X,GCN,896,,1100,,6000,128,GDDR5
NVIDIA Quadro P520,Pascal,384,,1303,1493,6000,64,GDDR5
NVIDIA GeForce GTX 850M,Maxwell,640,,876,,2000 - 5000,128,"DDR3, GDDR5"
NVIDIA Quadro M1000M,Maxwell,512,,993,1072,5000,128,GDDR5
NVIDIA Quadro M620,Maxwell,512,,1018,,5012,128,GDDR5
AMD Radeon RX Vega 11,Vega,704,,,1240,,,
AMD Radeon R9 M280X,GCN,896,,900,1000,5500,128,GDDR5
AMD Radeon HD 7950M,GCN,1280,,700,,4000,256,GDDR5
NVIDIA GeForce 945M,Maxwell,512,,928,1045,2000,128,DDR3
NVIDIA GeForce GTX 765M,Kepler,768,,850,,4000,128,GDDR5
NVIDIA GeForce GTX 470M SLI,Fermi,576,,535,,1250,192,GDDR5
NVIDIA GeForce GTX 480M SLI,Fermi,704,,425,,1200,256,GDDR5
NVIDIA GeForce GTX 560M SLI,Fermi,384,,775,,1250,192,GDDR5
NVIDIA Quadro K4000M,Kepler,960,,600,,2800,256,GDDR5
NVIDIA Quadro P500,Pascal,256,,1455,1519,5012,64,GDDR5
Intel Iris Plus Graphics G7 (Ice Lake 64 EU),Gen. 11 Ice Lake,64,,300,1100,,,DDR4
AMD Radeon RX Vega 10,Vega,640,,,1300,,,
Intel Iris Pro Graphics P580,Gen. 9 Skylake,72,,350,1100,,eDRAM + 64/128,eDRAM
Intel Iris Pro Graphics 580,Gen. 9 Skylake,72,,350,1050,,eDRAM + 64/128,eDRAM
NVIDIA GeForce GTX 675M,Fermi,384,,620,,3000,256,GDDR5
NVIDIA GeForce GTX 580M,Fermi,384,,620,,1500,256,GDDR5
AMD Radeon HD 6990M,Terascale 2,1120,,715,,900,256,GDDR5
AMD Radeon R9 M470,GCN 2,768,,1000,,6000,128,GDDR5
AMD Radeon R9 M385,GCN,0,,,,6000,128,GDDR5
AMD Radeon R9 M380,GCN,768,,1000,,6000,128,GDDR5
NVIDIA GeForce GT 650M SLI,Kepler,768,,790,835,4000,2x 128,GDDR5
NVIDIA GeForce GTX 460M SLI,Fermi,384,,675,,1250,192,GDDR5
ATI Mobility Radeon HD 5870 Crossfire,Terascale 2,1600,,700,,1000,128,"DDR3, GDDR3, GDDR5"
NVIDIA GeForce GTX 485M,Fermi,384,,575,,1500,256,GDDR5
NVIDIA GeForce GTX 285M SLI,G9x,256,,576,,1020,256,GDDR3
NVIDIA Quadro K3100M,Kepler,768,,706,,3200,256,GDDR5
AMD FirePro W5170M,GCN,640,,,925,4500,128,GDDR5
AMD Radeon R9 M370X,GCN 1.0,640,,800,,4500,128,GDDR5
NVIDIA GeForce GTX 670MX,Kepler,960,,600,,2800,192,GDDR5
NVIDIA Quadro 5010M,Fermi,384,,450,,1300,256,GDDR5 ECC
NVIDIA GeForce GTX 760M,Kepler,768,,657,,4000,128,GDDR5
AMD Radeon R9 M275,GCN,640,,925,,4500,128,GDDR5
NVIDIA GeForce GTX 670M,Fermi,336,,598,,3000,192,GDDR5
AMD Radeon RX Vega 9,Vega,576,,,1300,,,
NVIDIA Maxwell GPU Surface Book,Maxwell,384,,954,993,5012,64,GDDR5
AMD FirePro W5130M,GCN,512,,,925,4000,128,GDDR5
AMD FirePro M8900,Terascale 2,960,,680,,900,256,GDDR5
AMD Radeon HD 6970M,Terascale 2,960,,680,,900,256,GDDR5
AMD Radeon R9 M270,GCN,640,,725,,4500,128,GDDR5
AMD Radeon HD 8870M,GCN,640,,725,,4500,128,"GDDR5, DDR3"
AMD Radeon HD 7870M,GCN,640,,800,,4000,128,GDDR5
NVIDIA Quadro K3000M,Kepler,576,,654,,2800,256,GDDR5
NVIDIA GeForce GTX 570M,Fermi,336,,575,,1150,192,GDDR5
Intel UHD Graphics Xe G4 48EUs,Gen. 11 Ice Lake,48,,,,,,
AMD FirePro M6000,GCN,640,,750,,4500,128,GDDR5
AMD FirePro M5100,GCN,640,,725,775,4500,128,GDDR5
NVIDIA GeForce MX230,Pascal,256,,1519,1531,7000,64,GDDR5
AMD Radeon RX Vega 8 (Ryzen 4000),Vega,512,,,1750,,,
NVIDIA Quadro K2100M,Kepler,576,,667,,3000,128,GDDR5
NVIDIA GeForce GTX 280M SLI,G9x,256,,585,,950,256,GDDR3
AMD Radeon HD 6950M,Terascale 2,960,,580,,900,256,GDDR5
NVIDIA GeForce GT 755M,Kepler,384,,980,,5400,128,GDDR5
NVIDIA GeForce GTX 660M,Kepler,384,,835,,4000,128,GDDR5
NVIDIA GeForce 845M,Maxwell,384,,1071,1150,2000 - 5000,64/128,"DDR3, GDDR5"
AMD Radeon HD 8850M,GCN,640,,575,725,4500,128,"GDDR5, DDR3"
AMD Radeon R9 M365X,GCN,640,,900,925,4500,128,GDDR5
AMD Radeon R9 M265X,GCN,640,,625,,4000,128,GDDR5
AMD Radeon HD 7850M,GCN,640,,675,,4000,128,GDDR5
AMD Radeon R7 M465,GCN,384,,825,960,4000,128,GDDR5
AMD Radeon HD 8790M,GCN,384,,850,,4500,128,GDDR5
AMD FirePro W4170M,GCN,384,,850,900,4000,128,GDDR5
ATI Mobility Radeon HD 4870 X2,Terascale 1,1600,,550,,888,256,"GDDR3, GDDR5"
NVIDIA Quadro 4000M,Fermi,336,,475,,1200,256,GDDR5
NVIDIA GeForce GTX 470M,Fermi,288,,535,,1250,192,GDDR5
NVIDIA GeForce GTX 480M,Fermi,352,,425,,1200,256,GDDR5
NVIDIA GeForce GT 750M,Kepler,384,,967,,2000 - 5000,128,"DDR3, GDDR5"
Intel Iris Pro Graphics 6200,Gen. 8 Broadwell,48,,300,1150,,eDRAM + 64/128,
NVIDIA GeForce MX130,Maxwell,384,,1122,1242,,64,"GDDR5, DDR3"
NVIDIA GeForce 940MX,Maxwell,384,,1122,1242,4000,64,"GDDR5, DDR3"
NVIDIA Quadro M520,Maxwell,384,,756,1019,,64,GDDR5
NVIDIA Quadro K1100M,Kepler,384,,705,,2800,128,GDDR5
AMD Radeon RX Vega 8 (Ryzen 2000/3000),Vega,512,,,1200,,,
AMD Radeon RX Vega 7,Vega,448,,,1600,,,
NVIDIA GeForce 940M,Maxwell,384,,1072,1176,2000,64,DDR3
Intel Iris Plus Graphics G4 (Ice Lake 48 EU),Gen. 11 Ice Lake,48,,300,1100,,,DDR4
NVIDIA GeForce 930MX,Maxwell,384,,952,1020,2000,64,"GDDR5, DDR3"
Apple M1 8-Core GPU,,8,,1278,,,,
Apple M1 7-Core GPU,,7,,1278,,,,
NVIDIA Quadro M600M,Maxwell,384,,837,876,5012,128,GDDR5
AMD FirePro W4190M,GCN,384,,825,900,4000,128,GDDR5
AMD Radeon R9 M375,GCN,640,,1015,,2200,128,DDR3
Intel Iris Plus Graphics 655,Gen. 9.5 Kaby Lake,48,,300,1200,,,DDR3/DDR4
AMD Radeon R7 M445,GCN,320,,920,,2000,64,GDDR5
AMD Radeon R7 M380,GCN,640,,915,,2000,128,DDR3
AMD Radeon R7 M370,GCN,384,,875,,3600,128,GDDR5
NVIDIA GeForce GT 650M,Kepler,384,,735,900,1800 - 4000,128,"DDR3, GDDR5"
NVIDIA Quadro K620M,Maxwell,384,,1029,1124,2000,64,DDR3
NVIDIA Quadro M500M,Maxwell,384,,1029,1124,4004,64,DDR3
NVIDIA GeForce 840M,Maxwell,384,,1029,,2000,64,DDR3
AMD Radeon R7 M275DX,GCN,896,,,,,,DDR3
NVIDIA GeForce GT 745M,Kepler,384,,837,,1800,128,"DDR3, GDDR5"
AMD Radeon HD 7770M,GCN,512,,675,,4000,128,GDDR5
NVIDIA GeForce GTX 560M,Fermi,192,,775,,1250,192,GDDR5
Intel Iris Pro Graphics 5200,Gen. 7.5 Haswell,40,,200,1300,,eDRAM + 64/128,eDRAM
NVIDIA GeForce GT 740M,Kepler,384,,810,980,1600 - 1800,64/128,DDR3
Intel Iris Plus Graphics 650,Gen. 9.5 Kaby Lake,48,,300,1100,,64/128,DDR4
NVIDIA GeForce 930M,Maxwell,384,,928,941,1800,64,DDR3
Intel Iris Graphics 550,Gen. 9 Skylake,48,,300,1100,,eDRAM + 64/128,eDRAM
AMD Radeon 530,GCN,384,,1024,,2250,64,"DDR3, GDDR5"
AMD Radeon 625,GCN 1.0,384,,,1024,2250,64,"DDR3, GDDR5"
AMD Radeon RX Vega 6 (Ryzen 4000),Vega,384,,,1500,,,
Intel Iris Plus Graphics 645,Gen. 9.5 Coffee Lake,48,,300,1150,,,DDR3/DDR4
NVIDIA GeForce 830M,Maxwell,256,,1029,1150,1800,64,DDR3
NVIDIA GeForce MX110,Maxwell,256,,965,993,1800,64,GDDR5/DDR3
Intel Iris Plus Graphics 640,Gen. 9.5 Kaby Lake,48,,300,1050,,64/128,DDR3/DDR4
NVIDIA GeForce 920MX,Maxwell,256,,965,993,1800,64,GDDR5/DDR3
Intel Iris Graphics 540,Gen. 9 Skylake,48,,300,1050,,eDRAM + 64/128,eDRAM
NVIDIA Quadro K2000M,Kepler,384,,745,,1800,128,DDR3
NVIDIA GeForce GTX 260M SLI,G9x,224,,550,,950,256,GDDR3
NVIDIA GeForce GT 735M,Kepler,384,,575,889,1800 - 2000,64,DDR3
ATI Mobility Radeon HD 5870,Terascale 2,800,,700,,1000,128,"DDR3, GDDR3, GDDR5"
NVIDIA GeForce 825M,Kepler,384,,850,,1800,64,DDR3
NVIDIA Quadro 5000M,Fermi,320,,405,,1200,256,GDDR5
AMD FirePro M4000,GCN,512,,600,,4500,128,GDDR5
ATI FirePro M7820,Terascale 2,800,,700,,1000,128,GDDR5
AMD Radeon HD 6870M,Terascale 2,800,,675,,1000,128,"DDR3, GDDR3, GDDR5"
NVIDIA GeForce 9800M GTX SLI,G9x,224,,500,,800,256,GDDR3
AMD Radeon HD 8830M,GCN,640,,575,,2000,128,DDR3
AMD Radeon HD 8770M,GCN,384,,775,,4500,128,GDDR5
AMD Radeon R7 M260X,GCN,384,,715,,4000,128,GDDR5
NVIDIA GeForce GTX 460M,Fermi,192,,675,,1250,192,GDDR5
AMD Radeon HD 8550G + HD 8750M Dual Graphics,,640,,720 / 825,,1800,128,DDR3
NVIDIA GeForce GT 730M,Kepler,384,,725,,1800 - 2000,64/128,DDR3
NVIDIA GeForce GT 645M,Kepler,384,,710,,1800,128,DDR3
AMD Radeon HD 7750M,GCN,512,,575,,4000,128,GDDR5
AMD FirePro M4100,GCN,384,,670,,4000,128,GDDR5
AMD Radeon HD 8750M,GCN,384,,620,775,2000 - 4000,128,"GDDR5, DDR3"
NVIDIA Quadro 3000M,Fermi,240,,450,,625,256,GDDR5
AMD Radeon R7 M270,GCN,384,,825,,1800 - 2000,128,DDR3
AMD Radeon R7 M265,GCN,384,,825,980,1800 - 2000,64/128,DDR3
NVIDIA Quadro FX 3800M,G9x,128,,675,,1000,256,GDDR3
NVIDIA GeForce GTX 285M,G9x,128,,576,,1020,256,GDDR3
ATI Mobility Radeon HD 4870,Terascale 1,800,,550,,888,256,GDDR5
AMD Radeon R7 (Bristol Ridge),GCN 1.2,512,,,900,,64/128,
NVIDIA GeForce GT 640M,Kepler,384,,625,645,1800 - 4000,128,"DDR3, GDDR5"
AMD Radeon R7 (Carrizo),GCN 1.2/2.0,512,,,800,,64/128,
AMD Radeon R7 (Kaveri),GCN 1.1,512,,553,686,,64/128,
AMD Radeon R8 M365DX,GCN,768,,720 / 1125,,800 / 1000,128 + 64,DDR3
AMD Radeon R7 M460,GCN,384,,984,,2000,64,
AMD Radeon HD 7730M,GCN,512,,575,675,1800,128,DDR3
AMD Radeon R7 M360,GCN 2.0,384,,1125,,2000,64,DDR3
NVIDIA GeForce GTX 280M,G9x,128,,585,,950,256,GDDR3
NVIDIA GeForce 920M,Kepler,384,,954,,1800,64,DDR3
NVIDIA GeForce 9800M GT SLI,G9x,192,,500,,800,256,GDDR3
AMD Radeon HD 8690M,GCN,384,,775,,4500,64,GDDR5
AMD Radeon R8 M445DX,GCN,704,,720 / 1020,,933 / 1000,128 + 64,DDR4/DDR3
AMD Radeon 620,GCN 1.0,384,,,1024,2250,64,"DDR3, GDDR5"
AMD Radeon R7 M440,GCN 1.0,320,,1021,,2000,64,DDR3
NVIDIA GeForce 9800M GTS SLI,G9x,128,,600,,800,256,GDDR3
ATI Mobility Radeon HD 3870 X2,RV6xx,640,,660,,850,256,GDDR3
NVIDIA GeForce 8800M GTX SLI,G9x,192,,500,,800,256,GDDR3
ATI Mobility Radeon HD 3850 X2,RV6xx,640,,580,,750,256,GDDR3
NVIDIA Quadro FX 3700M,G9x,128,,550,,800,256,GDDR3
AMD Radeon R7 M260,GCN,384,,715,980,1800 - 2000,64/128,DDR3
AMD Radeon R7 M340,GCN,320,,1021,,2000,64,DDR3
AMD Radeon 520,GCN 1.0,320,,1030,,2250,64,"DDR3, GDDR5"
AMD Radeon 610,GCN 1.0,320,,,1030,2250,64,GDDR5
AMD Radeon R6 M340DX,GCN,704,,,,,,DDR3
AMD Radeon RX Vega 6 (Ryzen 2000/3000),Vega,384,,,1100,,,
AMD Radeon RX Vega 5,Vega,320,,,1400,,,
Intel UHD Graphics G1 (Ice Lake 32 EU),Gen. 11 Ice Lake,32,,300,1100,,,DDR4
Intel UHD Graphics 630,Gen. 9.5,24,,300,1150,,64/128,
